"Name","Platform","Year","North America","Europe","Japan","Other"
"Madden NFL 13","PS3","2012","0","0.01","0","0"
"Psychic Detective","PS","1995","0.01","0","0","0"
"Battlefield 2: Modern Combat(JP sales)","PS2","2005","0","0","0.02","0"
"Medal of Honor: Vanguard","PS2","2007","0","0","0.03","0"
"FIFA Soccer 2003 (weekly jp sales)","PS2","2002","0","0","0.04","0"
"Syndicate Wars","PS","1997","0.02","0.01","0","0"
"Warhammer: Dark Omen","PS","1998","0.02","0.01","0","0"
"Darklight Conflict","PS","1997","0.02","0.01","0","0"
"Rugby 08","PS2","2007","0.02","0.01","0","0"
"NHL Legacy","PS3","2015","0.03","0","0","0.01"
"NHL 16","PS3","2015","0","0.03","0","0.01"
"Hi-Octane: The Track Fights Back!","PS","1995","0.03","0.02","0","0"
"Medal of Honor: European Assault (weekly JP sales)","PS2","2005","0","0","0.05","0"
"Rugby 06","PS2","2006","0.02","0.02","0","0.01"
"Magic Carpet","PS","1995","0.03","0.02","0","0"
"Crusader: No Remorse","PS","1996","0.03","0.02","0","0"
"Viewpoint","PS","1995","0.04","0.03","0","0"
"Space Hulk: Vengeance of the Blood Angels","PS","1995","0.04","0.03","0","0"
"LEGO Soccer Mania","PS2","2002","0.04","0.03","0","0.01"
"Auto Destruct","PS","1998","0.04","0.03","0","0.01"
"Madden NFL 17","PS3","2016","0.05","0.01","0","0.01"
"Shox","PS2","2002","0.05","0.04","0","0.01"
"Populous: The Beginning","PS","1998","0.05","0.04","0","0.01"
"Shockwave Assault","PS","1995","0.05","0.04","0","0.01"
"NCAA March Madness 08","PS3","2007","0.08","0","0","0.01"
"Island Xtreme Stunts","PS2","2002","0.04","0.03","0","0.01"
"FIFA 2001: Major League Soccer","PS2","2000","0","0","0.09","0"
"Rugby 2005","PS2","2005","0.04","0.03","0","0.01"
"Burnout Paradise: The Ultimate Box","PS3","2009","0","0.06","0.01","0.02"
"Theme Hospital","PS","1998","0.03","0.02","0.03","0.01"
"FIFA 12","PS2","2011","0","0.02","0","0.06"
"F1 Career Challenge","PS2","2003","0.05","0.04","0","0.01"
"Project FIFA World Cup","PS2","2002","0","0","0.1","0"
"NASCAR 07","PS2","2006","0.06","0.04","0","0.01"
"Family Game Night 4: The Game Show","PS3","2011","0.08","0.02","0","0.01"
"MySims SkyHeroes","PS3","2010","0.08","0.02","0","0.01"
"Fuse (Insomniac)","PS3","2013","0.06","0.04","0","0.02"
"Mobil 1 Rally Championship","PS","2000","0.07","0.04","0","0.01"
"NFL Tour","PS3","2008","0.1","0.01","0","0.01"
"F1 2002","PS2","2002","0.05","0.04","0.02","0.01"
"LEGO Racers 2","PS2","2001","0.06","0.05","0","0.02"
"Drome Racers","PS2","2002","0.06","0.05","0","0.02"
"G.I. Joe: The Rise of Cobra","PS2","2009","0.11","0","0","0.03"
"Pirates: The Legend of Black Kat","PS2","2002","0.07","0.05","0","0.02"
"NFL Head Coach 09","PS3","2008","0.13","0","0","0.01"
"The Operative: No One Lives Forever","PS2","2002","0.07","0.05","0","0.02"
"UEFA Euro 2004: Portugal","PS2","2004","0.07","0.05","0","0.02"
"NBA Street Homecourt","PS3","2007","0.12","0.02","0","0.02"
"FIFA Soccer 2002","PS","2001","0.08","0.06","0","0.01"
